Student_ID,WAEC_Subjects,WAEC_Grades,JAMB_Subjects,JAMB_Score,JAMB_Cutoff,Post_UTME_Score,Aggregate_Score,Course_Cutoff,Admitted_Course
96953505,"Chemistry, Literature in English, Government, Physics, English Language","C6, C4, C5, A1, D7","Government, Physics, English Language, Mathematics",189,150,80,63.62,50,ND Printing Technology
9ff86702,"Geography, Biology, Chemistry, Mathematics, Commerce","B2, C6, F9, E8, C4","Chemistry, Government, Biology, Physics",256,150,56,60,50,ND Welding & Fabrication
c47d3c54,"Literature in English, Physics, Civic Education, Commerce, Biology","C6, A1, E8, E8, E8","Biology, Government, Geography, Physics",241,150,26,43.12,51.5,None
284d9660,"Financial Accounting, Government, Physics, Economics, Biology","F9, C6, E8, F9, C5","Biology, Physics, Economics, Government",336,150,58,71,64.38,ND Science Laboratory Technology
ee31f06d,"English Language, Agricultural Science, Chemistry, Geography, Biology","D7, A1, C4, E8, B2","Government, Commerce, Economics, English Language",342,150,40,62.75,59.25,ND Mechatronics Engineering
b1c4c98c,"Chemistry, Geography, Government, Financial Accounting, Biology","C4, A1, E8, C4, A1","English Language, Government, Biology, Mathematics",287,150,88,79.88,56.75,ND Chemical Engineering
82161d4e,"Literature in English, Chemistry, Commerce, Government, Biology","C6, C5, C4, A1, C4","Commerce, Chemistry, Biology, Government",293,150,34,53.62,50,ND Agricultural Technology
5de32efd,"English Language, Financial Accounting, Physics, Literature in English, Economics","B3, B2, C6, C5, B2","Geography, English Language, Literature in English, Mathematics",182,150,89,67.25,50,ND Textile Technology
344378b1,"English Language, Government, Economics, Geography, Civic Education","A1, D7, F9, F9, A1","Government, Geography, English Language, Economics",249,150,34,48.12,58.38,None
9ea6af66,"Commerce, English Language, Chemistry, Biology, Financial Accounting","D7, B3, E8, C5, C4","Mathematics, Economics, Literature in English, Biology",244,160,90,75.5,50,B.Sc Chemistry Education
5fdb9772,"Geography, Civic Education, Chemistry, Government, Literature in English","C6, A1, B3, D7, C6","English Language, Mathematics, Geography, Chemistry",217,160,71,62.62,50,B.Sc Integrated Science
bf118dc7,"Government, Civic Education, Physics, Biology, Economics","C5, C4, B3, B2, D7","Commerce, Government, Geography, Chemistry",254,150,70,66.75,54.88,ND Nutrition & Dietetics
10dfe916,"Physics, Chemistry, Literature in English, Economics, Commerce","C4, D7, C4, B2, F9","Commerce, Mathematics, English Language, Economics",331,150,94,88.38,56.5,ND Office Technology & Mgt
ebe71273,"English Language, Chemistry, Literature in English, Government, Commerce","B3, C6, F9, C5, E8","Geography, English Language, Economics, Mathematics",329,150,98,90.12,56.25,ND Estate Management
4ce95b4f,"Government, Agricultural Science, Commerce, Economics, Physics","C4, D7, D7, B2, C5","Chemistry, Mathematics, Economics, Literature in English",202,150,46,48.25,63.25,None
f7756ad7,"English Language, Commerce, Literature in English, Government, Agricultural Science","B2, D7, B2, E8, D7","Government, English Language, Biology, Economics",225,150,30,43.12,58,None
1c2a84c6,"Chemistry, English Language, Mathematics, Financial Accounting, Agricultural Science","F9, A1, B3, B2, C4","Mathematics, Biology, Geography, Literature in English",333,160,49,66.12,50,B.Sc Physics Education
f70b6e9f,"Physics, Mathematics, English Language, Agricultural Science, Civic Education","B2, B3, B3, B2, B2","English Language, Biology, Geography, Government",323,150,25,52.88,55.88,None
71a2d913,"Financial Accounting, Civic Education, Mathematics, Literature in English, Commerce","A1, B3, D7, F9, C5","Chemistry, Government, English Language, Literature in English",203,150,65,57.88,50,ND Polymer Technology
